Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,asymmetric,0.31,0.3307395712051621
75% Corpus,7,asymmetric,0.61,0.3417218913995994
75% Corpus,7,asymmetric,0.9099999999999999,0.3200131915637058
75% Corpus,7,asymmetric,symmetric,0.3272278688448858
75% Corpus,8,0.01,0.01,0.33305268638565144
75% Corpus,8,0.01,0.31,0.3349355750456026
75% Corpus,8,0.01,0.61,0.34688025204729217
75% Corpus,8,0.01,0.9099999999999999,0.34227575247150355
75% Corpus,8,0.01,symmetric,0.33271372377977954
75% Corpus,8,0.31,0.01,0.34406940251783663
75% Corpus,8,0.31,0.31,0.3352075653930188
75% Corpus,8,0.31,0.61,0.3414179594609958
75% Corpus,8,0.31,0.9099999999999999,0.34171294031055044
75% Corpus,8,0.31,symmetric,0.33890012703065864
75% Corpus,8,0.61,0.01,0.3373851494317122
75% Corpus,8,0.61,0.31,0.34310518473210394
75% Corpus,8,0.61,0.61,0.33600140610411316
75% Corpus,8,0.61,0.9099999999999999,0.34682795096192276
75% Corpus,8,0.61,symmetric,0.34174734973998666
75% Corpus,8,0.9099999999999999,0.01,0.34180362650357
75% Corpus,8,0.9099999999999999,0.31,0.34145025789904143
75% Corpus,8,0.9099999999999999,0.61,0.3359642749616846
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.33262296322139323
75% Corpus,8,0.9099999999999999,symmetric,0.3415577785469447
75% Corpus,8,symmetric,0.01,0.33418787099845026
75% Corpus,8,symmetric,0.31,0.3414817499799563
75% Corpus,8,symmetric,0.61,0.32725766133721407
75% Corpus,8,symmetric,0.9099999999999999,0.3386950843749094
75% Corpus,8,symmetric,symmetric,0.3352657863884287
75% Corpus,8,asymmetric,0.01,0.33115602231100566
75% Corpus,8,asymmetric,0.31,0.3320896045909917
75% Corpus,8,asymmetric,0.61,0.3391802445154
75% Corpus,8,asymmetric,0.9099999999999999,0.3211157533014354
75% Corpus,8,asymmetric,symmetric,0.3393254186046653
75% Corpus,9,0.01,0.01,0.33271372377977954
75% Corpus,9,0.01,0.31,0.33665834417235185
75% Corpus,9,0.01,0.61,0.33983612929056684
75% Corpus,9,0.01,0.9099999999999999,0.34618621481451417
75% Corpus,9,0.01,symmetric,0.3327137237797795
75% Corpus,9,0.31,0.01,0.33875682029570464
75% Corpus,9,0.31,0.31,0.3366739616084352
75% Corpus,9,0.31,0.61,0.3383902636532156
75% Corpus,9,0.31,0.9099999999999999,0.3227792475123493
75% Corpus,9,0.31,symmetric,0.33761360254875866
75% Corpus,9,0.61,0.01,0.33969679354972415
75% Corpus,9,0.61,0.31,0.3407839399584059
75% Corpus,9,0.61,0.61,0.33684362684266905
75% Corpus,9,0.61,0.9099999999999999,0.3303227871968859
75% Corpus,9,0.61,symmetric,0.33635559534383386
75% Corpus,9,0.9099999999999999,0.01,0.34058785092735616
75% Corpus,9,0.9099999999999999,0.31,0.3404097764554453
75% Corpus,9,0.9099999999999999,0.61,0.33940412480116383
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.33535349098760114
75% Corpus,9,0.9099999999999999,symmetric,0.3423214399651825
75% Corpus,9,symmetric,0.01,0.341407567863565
75% Corpus,9,symmetric,0.31,0.3308868140191997
75% Corpus,9,symmetric,0.61,0.3405104276294022
75% Corpus,9,symmetric,0.9099999999999999,0.3190279067705839
75% Corpus,9,symmetric,symmetric,0.3348687428670035
75% Corpus,9,asymmetric,0.01,0.33134351262666895
75% Corpus,9,asymmetric,0.31,0.3374535689339837
75% Corpus,9,asymmetric,0.61,0.3246952860480813
75% Corpus,9,asymmetric,0.9099999999999999,0.3331698514739209
75% Corpus,9,asymmetric,symmetric,0.33136237467024293
75% Corpus,10,0.01,0.01,0.33249453601812484
75% Corpus,10,0.01,0.31,0.3368853315899695
75% Corpus,10,0.01,0.61,0.3468802520472921
75% Corpus,10,0.01,0.9099999999999999,0.35060144642798075
75% Corpus,10,0.01,symmetric,0.3343453109435587
75% Corpus,10,0.31,0.01,0.3402452183169139
75% Corpus,10,0.31,0.31,0.3366739616084352
75% Corpus,10,0.31,0.61,0.3422899020869631
75% Corpus,10,0.31,0.9099999999999999,0.34080852089028024
75% Corpus,10,0.31,symmetric,0.3393803816292721
75% Corpus,10,0.61,0.01,0.3404826206087795
75% Corpus,10,0.61,0.31,0.3397274428437874
75% Corpus,10,0.61,0.61,0.3351665781075037
75% Corpus,10,0.61,0.9099999999999999,0.33141521454630196
75% Corpus,10,0.61,symmetric,0.34356564343472507
